Line Name,Rest Value
  H2  9- 8 S( 9),    3.24468
  H2  5- 4 Q( 7),    3.24018
  H2  7- 5 O(14),    3.23631
  H2  1- 0 O( 5),    3.23499
  H2 13-10 O( 7),    3.23304
  H2 12-10 Q( 2),    3.22458
  H2 11- 9 O( 5),    3.21605
  H2  4- 3 Q(11),    3.21204
  H2  9- 7 O(10),    3.20432
  H2 10- 7 O(16),    3.20403
  H2  8- 6 O(12),    3.20209
  H2  5- 4 Q( 6),    3.20051
  H2  8- 7 S( 3),    3.19565
  H2 14-11 S( 1),    3.19480
  H2 12-10 Q( 1),    3.18989
  H2  2- 1 O( 4),    3.18981
  H2 14-11 S( 0),    3.18879
  H2  3- 2 Q(14),    3.17791
  H2  5- 4 Q( 5),    3.16697
  H2  3- 2 O( 3),    3.16383
  H2 12-10 S( 7),    3.16279
  H2  7- 6 S( 1),    3.16199
  H2  5- 3 O(17),    3.15925
  H2  4- 3 O( 2),    3.15889
  H2  4- 3 Q(10),    3.15439
  H2  5- 4 Q( 4),    3.13934
  H2  5- 4 Q( 3),    3.11743
  H2  3- 2 Q(13),    3.11038
  H2 11- 9 Q( 8),    3.10997
  H2  4- 3 Q( 9),    3.10316
  H2  5- 4 Q( 2),    3.10111
  H2  8- 7 S( 4),    3.09753
  H2 10- 8 Q(12),    3.09550
  H2  5- 4 Q( 1),    3.09028
  H2  6- 4 O(15),    3.08726
  H2 10- 8 O( 7),    3.07279
  H2 11- 8 O(13),    3.07206
  H2 12- 9 O(10),    3.06821
  H2  6- 5 S( 0),    3.06276
  H2  4- 3 Q( 8),    3.05791
  H2 11- 9 O( 4),    3.05641
  H2 12-10 S( 6),    3.05422
  H2 12-10 S( 0),    3.05278
  H2  3- 2 Q(12),    3.04920
  H2  9- 7 Q(15),    3.03748
  H2  7- 5 O(13),    3.03628
  H2  7- 6 S( 2),    3.03091
  H2  2- 1 Q(15),    3.02951
  H2  4- 3 Q( 7),    3.01833
  H2  9- 7 O( 9),    3.01378
  H2 13-10 O( 6),    3.00787
  H2  8- 6 O(11),    3.00721
